id_rented,student,date,devolution,book,librarian,price
1,999,2024-02-06,2021-04-24,72,303,4
2,53,2024-02-14,2021-01-09,778,729,1
3,134,2023-08-21,2023-04-03,436,669,1
4,823,2024-01-28,2019-12-31,576,793,2
5,338,2024-04-14,2022-11-17,892,168,1
6,410,2023-05-22,2022-06-28,547,49,3
7,53,2024-04-26,2023-09-23,572,553,4
8,329,2024-02-22,2024-03-04,129,760,4
9,329,2023-07-24,2020-11-08,324,832,4
10,227,2023-08-28,2020-06-19,692,770,2
11,304,2023-06-27,2023-05-20,622,830,5
12,825,2024-05-19,2024-01-23,116,551,1
13,375,2023-12-25,2019-08-19,944,998,5
14,35,2024-05-17,2022-09-09,783,89,3
15,756,2023-10-02,2022-10-18,485,894,4
16,907,2024-04-01,2021-02-05,416,979,2
17,904,2023-06-15,2022-07-14,703,888,1
18,594,2023-12-16,2019-11-09,671,637,2
19,709,2023-11-30,2021-02-25,404,673,4
20,189,2023-06-09,2023-06-19,942,21,2
21,650,2023-09-14,2020-11-10,795,409,1
22,134,2023-08-18,2022-10-17,482,968,1
23,618,2024-01-25,2019-09-25,797,343,4
24,435,2023-10-27,2021-09-19,608,770,4
25,707,2024-04-11,2022-02-17,891,60,2
26,917,2024-03-01,2019-09-15,926,976,2
27,857,2023-06-13,2021-09-15,816,923,4
28,222,2023-06-02,2024-03-04,812,386,5
29,678,2024-02-27,2022-11-01,58,290,2
30,78,2023-05-28,2019-12-29,711,883,1
31,184,2024-01-27,2024-02-17,869,869,4
32,583,2023-08-27,2021-10-19,401,294,1
33,235,2023-12-18,2024-03-25,406,944,4
34,882,2023-11-02,2020-05-31,619,708,5
35,876,2023-12-14,2020-01-30,727,904,3
36,721,2023-07-12,2020-07-11,670,7,1
37,865,2023-10-27,2022-06-11,435,937,3
38,796,2023-05-26,2022-07-06,406,125,2
39,539,2023-08-16,2022-02-12,307,514,3
40,122,2024-04-03,2024-04-08,897,415,3
41,494,2023-06-20,2020-10-30,105,952,5
42,79,2024-03-30,2021-12-22,692,225,5
43,768,2023-10-14,2023-07-24,345,956,2
44,107,2023-09-15,2022-04-02,738,536,1
45,517,2023-08-21,2019-12-28,437,121,4
46,769,2023-09-28,2020-07-13,972,307,3
47,347,2024-03-07,2023-12-25,125,748,5
48,361,2023-09-05,2023-10-19,568,618,2
49,273,2023-05-31,2021-01-04,129,453,1
50,702,2024-01-22,2019-10-12,904,292,3
51,375,2023-06-14,2023-11-08,61,241,4
52,270,2023-11-06,2019-09-12,495,802,3
53,751,2024-02-02,2022-05-29,138,279,2
54,67,2023-05-27,2022-05-16,617,508,4
55,523,2023-09-26,2021-11-05,520,815,5
56,863,2023-10-24,2020-05-18,119,383,2
57,938,2023-07-04,2024-04-02,431,249,2
58,993,2023-05-21,2022-11-08,808,691,3
59,277,2024-05-02,2023-11-29,88,542,4
60,423,2023-06-28,2023-03-30,895,231,5
61,550,2023-09-08,2022-08-21,228,617,2
62,18,2023-10-14,2021-12-22,327,415,5
63,403,2024-01-28,2022-04-07,782,43,1
64,358,2023-10-02,2020-11-16,180,419,3
65,729,2024-03-30,2021-11-08,861,927,4
66,414,2024-05-16,2019-11-17,882,182,4
67,153,2023-06-15,2022-01-03,775,780,5
68,423,2024-04-08,2023-02-09,35,549,5
69,437,2024-03-12,2022-09-26,713,290,4
70,934,2024-02-22,2021-08-14,632,272,2
71,893,2024-03-10,2020-03-18,727,136,4
72,233,2024-03-02,2020-01-03,477,168,4
73,386,2023-11-05,2020-02-25,285,166,2
74,625,2023-06-05,2019-09-26,872,431,3
75,930,2023-12-26,2020-05-13,693,60,2
76,792,2023-11-29,2021-03-17,753,525,4
77,272,2023-07-29,2020-07-06,55,57,4
78,875,2023-09-17,2023-02-25,230,768,5
79,72,2023-08-30,2024-05-10,752,755,5
80,162,2023-08-02,2021-08-11,808,370,3
81,2,2024-01-20,2021-09-11,680,482,1
82,115,2023-12-19,2020-01-30,778,806,3
83,64,2023-09-08,2020-03-12,143,744,4
84,760,2023-11-21,2021-06-29,600,137,2
85,591,2023-09-07,2023-04-11,913,407,2
86,638,2023-06-20,2019-12-15,752,911,4
87,146,2023-11-23,2021-02-17,367,511,4
88,992,2024-03-19,2019-12-10,357,649,1
89,217,2023-09-12,2022-11-16,985,118,4
90,318,2023-11-09,2020-12-04,128,617,2
91,113,2023-07-12,2021-08-09,846,508,3
92,69,2024-05-01,2021-09-15,46,457,3
93,149,2023-09-01,2024-05-18,862,13,1
94,176,2023-08-22,2022-01-08,106,489,5
95,9,2023-11-13,2024-02-29,772,828,5
96,771,2023-08-17,2020-02-08,469,978,4
97,873,2024-02-21,2021-06-10,584,751,1
98,222,2024-02-10,2021-11-02,708,365,3
99,597,2023-10-27,2021-10-10,220,166,4
100,67,2023-12-07,2022-06-12,882,966,2
